date,kr_interest
2008-02-10,5.33
2008-02-11,5.33
2008-02-12,5.33
2008-02-13,5.33
2008-02-14,5.33
2008-02-15,5.33
2008-02-16,5.33
2008-02-17,5.33
2008-02-18,5.33
2008-02-19,5.33
2008-02-20,5.33
2008-02-21,5.33
2008-02-22,5.33
2008-02-23,5.33
2008-02-24,5.33
2008-02-25,5.33
2008-02-26,5.33
2008-02-27,5.33
2008-02-28,5.33
2008-02-29,5.33
2008-03-01,5.42
2008-03-02,5.42
2008-03-03,5.42
2008-03-04,5.42
2008-03-05,5.42
2008-03-06,5.42
2008-03-07,5.42
2008-03-08,5.42
2008-03-09,5.42
2008-03-10,5.42
2008-03-11,5.42
2008-03-12,5.42
2008-03-13,5.42
2008-03-14,5.42
2008-03-15,5.42
2008-03-16,5.42
2008-03-17,5.42
2008-03-18,5.42
2008-03-19,5.42
2008-03-20,5.42
2008-03-21,5.42
2008-03-22,5.42
2008-03-23,5.42
2008-03-24,5.42
2008-03-25,5.42
2008-03-26,5.42
2008-03-27,5.42
2008-03-28,5.42
2008-03-29,5.42
2008-03-30,5.42
2008-03-31,5.42
2008-04-01,5.3
2008-04-02,5.3
2008-04-03,5.3
2008-04-04,5.3
2008-04-05,5.3
2008-04-06,5.3
2008-04-07,5.3
2008-04-08,5.3
2008-04-09,5.3
2008-04-10,5.3
2008-04-11,5.3
2008-04-12,5.3
2008-04-13,5.3
2008-04-14,5.3
2008-04-15,5.3
2008-04-16,5.3
2008-04-17,5.3
2008-04-18,5.3
2008-04-19,5.3
2008-04-20,5.3
2008-04-21,5.3
2008-04-22,5.3
2008-04-23,5.3
2008-04-24,5.3
2008-04-25,5.3
2008-04-26,5.3
2008-04-27,5.3
2008-04-28,5.3
2008-04-29,5.3
2008-04-30,5.3
2008-05-01,5.64
2008-05-02,5.64
2008-05-03,5.64
2008-05-04,5.64
2008-05-05,5.64
2008-05-06,5.64
2008-05-07,5.64
2008-05-08,5.64
2008-05-09,5.64
2008-05-10,5.64
2008-05-11,5.64
2008-05-12,5.64
2008-05-13,5.64
2008-05-14,5.64
2008-05-15,5.64
2008-05-16,5.64
2008-05-17,5.64
2008-05-18,5.64
2008-05-19,5.64
2008-05-20,5.64
2008-05-21,5.64
2008-05-22,5.64
2008-05-23,5.64
2008-05-24,5.64
2008-05-25,5.64
2008-05-26,5.64
2008-05-27,5.64
2008-05-28,5.64
2008-05-29,5.64
2008-05-30,5.64
2008-05-31,5.64
2008-06-01,6.03
2008-06-02,6.03
2008-06-03,6.03
